path,label
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\3\3393_3_ (6).png,3
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\8\1275_8_2X.jpg,8
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\2\867_2_(5).png,2
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\2\2948_2_img11.jpg,2
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\4\7591_4_1d7f00c13a897bace7ab822428d0d515.jpg,4
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\7\1834_7_xanh_2.jpg,7
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\0\6194_0_7_van.jpg,0
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\7\1271_7_5X.jpg,7
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\5\7855_5_3b8f480654d051974329e4ce6de5604c.png,5
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\6\6050_6_do4.jpg,6
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\9\1977_9_xanh1.jpg,9
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\0\5989_0_do3.jpg,0
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\9\8710_9_4f0fc84007f903c922c6993cdf09a382.jpg,9
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\4\2031_4_do5.jpg,4
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\5\5028_5_blue01.jpg,5
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\8\3859_8_2.jpg,8
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\8\807_8_3grey.png,8
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\0\1294_0_ (2).png,0
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\5\589_5_green_3.jpg,5
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\7\8375_7_7_0a32c1ddeff9ccee037564345c0c4e4b  -.png,7
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\8\8479_8_3c8df96aec41beed459c5292bacc60f9.png,8
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\2\4600_2_blue (4).jpg,2
E:\Code\Github\CS114.P21_project\digit_classification\data\image_raw_v1\sorted\7\1552_7_B_001.jpg,7
